Gene Symbol	RefSeq Genomic Accession	RefSeq Genomic GI	RefSeq mRNA Accession	RefSeq ncRNA Accession	RefSeq Nucleotide GI	RefSeq Protein Accession	RefSeq Protein GI	
PYYM_1328100	-	-	-	-	-	-	-	
PYYM_1328300	-	-	-	-	-	-	-	
PYYM_1328800	-	-	-	-	-	-	-	
PmUG01_12053200.1-p1	-	-	-	-	-	-	-	
TGVEG_260250-t26_1-p1	-	-	-	-	-	-	-	
TP04_0577-t26_1-p1	-	-	-	-	-	-	-	
cgd1_3310-t26_1-p1	-	-	-	-	-	-	-	
BBM_III05120	NC_027207	829088320	XM_012794176	-	829086430	XP_012649630	829086431	
PBANKA_0716500	-	-	-	-	-	-	-	
PCHAS_0725600	-	-	-	-	-	-	-	
PCYB_052760	NC_020398	457868787	XM_004221157	-	457868565	XP_004221205	457868566	
PF3D7_0414500	-	-	-	-	-	-	-	
PKNH_0506100	-	-	-	-	-	-	-	
PRCDC_0412000	-	-	-	-	-	-	-	
PVX_089680	NC_009910	166093242	XM_001614976	-	156097986	XP_001615026	156097987	
PYYM_0716600	-	-	-	-	-	-	-	
PmUG01_05029200.1-p1	-	-	-	-	-	-	-	
TGVEG_264610-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_265530-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_310050-t26_1-p1	-	-	-	-	-	-	-	
TP01_0879-t26_1-p1	-	-	-	-	-	-	-	
TP04_0766-t26_1-p1	-	-	-	-	-	-	-	
cgd2_3970-t26_1-p1	-	-	-	-	-	-	-	
cgd5_3270-t26_1-p1	-	-	-	-	-	-	-	
cgd5_700-t26_1-p1	-	-	-	-	-	-	-	
PBANKA_1447900	-	-	-	-	-	-	-	
PCHAS_1450200	-	-	-	-	-	-	-	
PCYB_145890	NC_020407	457878398	XM_004225060	-	457877822	XP_004225108	457877823	
PF3D7_1233200.1	-	-	-	-	-	-	-	
PF3D7_1233200.2	-	-	-	-	-	-	-	
PKNH_1452700	-	-	-	-	-	-	-	
PRCDC_1232500.1	-	-	-	-	-	-	-	
PRCDC_1232500.2	-	-	-	-	-	-	-	
PVX_100620	NC_009919	166093251	XM_001613820	-	156095670	XP_001613870	156095671	
PYYM_1452000	-	-	-	-	-	-	-	
PmUG01_14067500.1-p1	-	-	-	-	-	-	-	
TGVEG_233380-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_263390-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_281960-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_285250-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_289710-t26_1-p1	-	-	-	-	-	-	-	
cgd4_490-t26_1-p1	-	-	-	-	-	-	-	
cgd7_1550-t26_1-p1	-	-	-	-	-	-	-	
BBM_II04160	NC_027206	829088319	XM_012793133	-	829084344	XP_012648587	829084345	
PBANKA_1356800	-	-	-	-	-	-	-	
PCHAS_1361400	-	-	-	-	-	-	-	
PCYB_121990	NC_020405	457875032	XM_004223530	-	457873318	XP_004223578	457873319	
PF3D7_1343800	-	-	-	-	-	-	-	
PKNH_1257600	-	-	-	-	-	-	-	
PRCDC_1342800	-	-	-	-	-	-	-	
PVX_083085	NC_009917	166093249	XM_001614166	-	156096363	XP_001614216	156096364	
PYYM_1358900	-	-	-	-	-	-	-	
PmUG01_12021100.1-p1	-	-	-	-	-	-	-	
TGVEG_216290-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_216335-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_306020-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_313630-t26_1-p1	-	-	-	-	-	-	-	
TP01_0484-t26_1-p1	-	-	-	-	-	-	-	
TP01_0485-t26_1-p1	-	-	-	-	-	-	-	
TP01_0486-t26_1-p1	-	-	-	-	-	-	-	
cgd5_2840-t26_1-p1	-	-	-	-	-	-	-	
PBANKA_1007700	-	-	-	-	-	-	-	
PCHAS_1008600	-	-	-	-	-	-	-	
PCYB_031780	NC_020397	457868214	XM_004220848	-	457867946	XP_004220896	457867947	
PF3D7_0410300	-	-	-	-	-	-	-	
PKNH_0308400	-	-	-	-	-	-	-	
PRCDC_0407700	-	-	-	-	-	-	-	
PVX_000735	NC_009908	255028013	XM_001613270	-	156094566	XP_001613320	156094567	
PYYM_1009300	-	-	-	-	-	-	-	
PmUG01_03020300.1-p1	-	-	-	-	-	-	-	
TGVEG_201520-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_201630B-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_202610-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_224240-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_236260-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_278510-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_282055-t26_1-p1	-	-	-	-	-	-	-	
TGVEG_293450-t26_1-p1	-	-	-	-	-	-	-	
cgd7_3530-t26_1-p1	-	-	-	-	-	-	-	
BBM_II00605	NC_027206	829088319	XM_012792442	-	829082962	XP_012647896	829082963	
BBM_II03395	NC_027206	829088319	XM_012792986	-	829084050	XP_012648440	829084051	
PBANKA_1352700	-	-	-	-	-	-	-	
